stimuli_letter,target,correct_key,trialsOne.thisRepN,trialsOne.thisTrialN,trialsOne.thisN,trialsOne.thisIndex,WelcomeScreenText.started,WelcomeScreenText.stopped,WelcomeInstructions.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,text.started,text.stopped,eegtime,n_back_one.started,Key_one.started,n_back_one.stopped,Key_one.stopped,Key_one.keys,Key_one.corr,ISI.started,ISI.stopped,Key_one.rt,participant,session,date,expName,psychopyVersion,frameRate,
C,Y,z,0,47,47,47,,,,,,,,,3255,162.38259590000052,162.4666945000008,162.68249370000012,163.58243949999996,None,0,163.58243949999996,,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
V,N,None,0,48,48,48,,,,,,,,,3282,165.08223139999973,165.1821627999998,165.38244570000097,,z,0,165.51615010000023,167.0159162,0.3125661999984004,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
B,N,None,0,49,49,49,,,,,,,,,3355,167.0159162,167.11611860000085,167.31606099999954,168.2158503999999,None,1,168.2158503999999,169.7160887000009,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
X,N,None,0,50,50,50,,,,,,,,,3428,169.7160887000009,169.81673880000017,170.0162438999996,170.9165709000008,None,1,170.9165709000008,172.41602150000108,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
X,Y,z,0,51,51,51,,,,,,,,,3501,172.41602150000108,172.5158905999997,172.71586770000067,173.61645110000063,None,0,173.61645110000063,175.1160863999994,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
V,N,None,0,52,52,52,,,,,,,,,3573,175.1160863999994,175.2162776999994,175.41631310000048,,None,1,176.31661170000007,,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
Y,N,None,0,53,53,53,,,,,,,,,3594,177.81606570000076,177.91636239999934,178.11668950000058,,z,0,178.14962729999934,179.65009740000096,0.20773099999860278,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
B,N,None,0,54,54,54,,,,,,,,,3667,179.65009740000096,179.74958359999982,179.9497467000001,180.8498808000004,None,1,180.8498808000004,182.3499412000001,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
B,Y,z,0,55,55,55,,,,,,,,,3740,182.3499412000001,182.44980179999948,182.64964320000036,183.5499491999999,None,0,183.5499491999999,185.05042160000085,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
B,Y,z,0,56,56,56,,,,,,,,,3767,185.05042160000085,185.15933179999956,185.3500795,,z,1,185.4892751999996,,0.3087519999990036,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
A,N,None,0,57,57,57,,,,,,,,,3836,187.03352110000014,187.07121420000112,187.33663160000106,,None,1,188.19970810000086,,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
,,,,,,,,,,,,,,,3886,189.74244920000092,189.7841511000006,190.0511101000011,,,,,,,,,,,,,
