stimuli_letter,target,correct_key,Letter_stimulus,trialsOne.thisRepN,trialsOne.thisTrialN,trialsOne.thisN,trialsOne.thisIndex,trialsTwo.thisRepN,trialsTwo.thisTrialN,trialsTwo.thisN,trialsTwo.thisIndex,WelcomeScreenText.started,WelcomeInstructions.started,WelcomeScreenText.stopped,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,text.started,eegtime,n_back_one.started,Key_one.started,n_back_one.stopped,Key_one.keys,Key_one.corr,ISI.started,Key_one.stopped,Key_one.rt,ISI.stopped,Intro_Block_two.started,Start_Block_One.started,Start_Block_One.keys,Start_Block_One.rt,Block_2_stimulus.started,key_Two.started,Block_2_stimulus.stopped,key_Two.keys,key_Two.corr,key_Two.stopped,key_Two.rt,GoodBye.started,participant,session,date,expName,psychopyVersion,frameRate,
A,N,None,,0,20,20,20,,,,,,,,,,,,62.57245707511902,68.44507700000031,68.53868560000046,68.75237469999956,None,1,69.64691160000075,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
W,N,None,,0,21,21,21,,,,,,,,,,,,65.28123140335083,71.15384679999988,71.23403739999958,71.46087979999902,None,1,72.3400416000004,72.3400416000004,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
X,N,None,,0,22,22,22,,,,,,,,,,,,67.97568464279175,73.84815549999985,73.92842589999964,74.1553430999993,None,1,75.03546710000046,75.03546710000046,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
X,Y,z,,0,23,23,23,,,,,,,,,,,,70.66129779815674,76.54171270000006,76.63510219999989,76.84886860000006,None,0,77.74322679999932,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
A,N,None,,0,24,24,24,,,,,,,,,,,,73.37587785720825,79.25018119999913,79.33040769999934,79.55725250000069,None,1,80.43640210000012,80.43640210000012,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
X,N,None,,0,25,25,25,,,,,,,,,,,,76.07268285751343,81.94438470000023,82.03813869999976,82.25148400000035,None,1,83.14535000000069,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
X,Y,z,,0,26,26,26,,,,,,,,,,,,78.14834785461426,84.65121440000075,84.73152169999958,84.95929629999955,z,1,85.21253129999968,,0.45680519999950775,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
C,N,None,,0,27,27,27,,,,,,,,,,,,80.83651638031006,86.71949829999903,86.81316719999995,87.026717499999,None,1,87.91920559999926,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
V,N,None,,0,28,28,28,,,,,,,,,,,,83.5403311252594,89.42717529999936,89.50742680000076,89.73424069999965,None,1,90.61483849999968,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
Y,N,None,,0,29,29,29,,,,,,,,,,,,86.24795031547546,92.12057719999939,92.20091820000016,92.42770129999917,None,1,93.30879509999977,93.30879509999977,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
X,N,None,,0,30,30,30,,,,,,,,,,,,88.93421339988708,94.81583329999921,94.90939199999957,95.12299530000018,None,1,96.0154779000004,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
B,N,None,,0,31,31,31,,,,,,,,,,,,91.6479663848877,97.5237247999994,97.60375910000039,97.83051519999935,None,1,98.71077109999896,98.71077109999896,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
W,N,None,,0,32,32,32,,,,,,,,,,,,94.34426093101501,100.21682259999943,100.31039509999937,100.52392429999963,None,1,101.41853609999998,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
B,N,None,,0,33,33,33,,,,,,,,,,,,97.05185222625732,102.92542219999996,103.00581330000023,103.23249829999986,None,1,104.11172049999914,104.11172049999914,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
B,Y,z,,0,34,34,34,,,,,,,,,,,,99.06689596176147,105.61999789999936,105.71345990000009,105.92702099999951,z,1,106.12684319999971,,0.39528640000025916,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
W,N,None,,0,35,35,35,,,,,,,,,,,,101.76130104064941,107.63388639999903,107.72749830000066,107.94023650000054,None,1,108.83350969999992,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
W,Y,z,,0,36,36,36,,,,,,,,,,,,103.7094030380249,110.34170119999908,110.42177609999999,110.64853799999946,z,1,110.76847629999975,,0.3266206999996939,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
W,Y,z,,0,37,37,37,,,,,,,,,,,,105.8282618522644,112.27480149999974,112.3682432000005,112.58169760000055,z,1,112.88827639999909,,0.49644919999809645,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
C,N,None,,0,38,38,38,,,,,,,,,,,,108.51263356208801,114.39629640000021,114.47662239999954,114.70334430000003,None,1,115.58360670000002,115.58360670000002,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
Y,N,None,,0,39,39,39,,,,,,,,,,,,111.2101902961731,117.09059829999933,117.18431620000047,117.39784820000023,None,1,118.29158629999984,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
A,N,None,,0,40,40,40,,,,,,,,,,,,113.9246187210083,119.79827139999907,119.87657149999905,120.10457169999972,None,1,120.98454449999917,120.98454449999917,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
A,Y,z,,0,41,41,41,,,,,,,,,,,,115.96470236778259,122.49290830000064,122.58616009999969,122.79973120000068,z,1,123.02627890000076,,0.4156199999997625,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
Y,N,None,,0,42,42,42,,,,,,,,,,,,118.66038227081299,124.53280889999951,124.62609689999954,124.83949989999928,None,1,125.73404329999903,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
W,N,None,,0,43,43,43,,,,,,,,,,,,121.36398696899414,127.24100419999922,127.32130490000054,127.54813130000002,None,1,128.4273933000004,128.4273933000004,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
B,N,None,,0,44,44,44,,,,,,,,,,,,124.06362748146057,129.93522630000007,130.01581400000032,130.2423357000007,None,1,131.12270050000006,131.12270050000006,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
Y,N,None,,0,45,45,45,,,,,,,,,,,,126.75612139701843,132.6289154999995,132.72227629999907,132.93592419999914,None,1,133.83035430000018,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
C,N,None,,0,46,46,46,,,,,,,,,,,,129.46431946754456,135.33746659999997,135.41762279999966,135.6444589999992,None,1,136.52366380000058,136.52366380000058,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
C,Y,z,,0,47,47,47,,,,,,,,,,,,131.31750869750977,138.0318274000001,138.12551859999985,138.33872879999944,z,1,138.37858880000022,,0.23939969999992172,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
V,N,None,,0,48,48,48,,,,,,,,,,,,134.0131573677063,139.8857265000006,139.97692370000004,140.19179930000064,None,1,141.08543129999998,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
B,N,None,,0,49,49,49,,,,,,,,,,,,136.70759272575378,142.5933253000003,142.67364420000013,142.90054659999987,None,1,143.78071079999972,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
X,N,None,,0,50,50,50,,,,,,,,,,,,139.41388702392578,145.28678129999935,145.36692159999984,145.59377379999933,None,1,146.47528579999926,146.47528579999926,,147.98030330000074,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
X,Y,z,,0,51,51,51,,,,,,,,,,,,142.1064167022705,147.98030330000074,148.07570710000073,148.28814760000023,None,0,149.1817718000002,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
V,N,None,,0,52,52,52,,,,,,,,,,,,144.81151580810547,150.68970380000064,150.7699649999995,150.99678060000042,None,1,151.87696200000028,151.87696200000028,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
Y,N,None,,0,53,53,53,,,,,,,,,,,,146.67900919914246,153.38389819999975,153.47768619999988,153.69097390000024,z,0,153.74416670000028,,0.24335939999946277,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
B,N,None,,0,54,54,54,,,,,,,,,,,,149.37521982192993,155.2513342000002,155.344951699999,155.55842269999994,None,1,156.45072909999908,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
B,Y,z,,0,55,55,55,,,,,,,,,,,,151.36287236213684,157.95880889999898,158.03880349999963,158.2657610999995,z,1,158.42569139999978,,0.3695463000003656,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
B,Y,z,,0,56,56,56,,,,,,,,,,,,153.55914664268494,159.93330609999975,160.01332019999973,160.23926070000016,z,1,160.63912449999953,,0.6122434999997495,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
A,N,None,,0,57,57,57,,,,,,,,,,,,156.27422904968262,162.14589019999949,162.23963580000054,162.45314289999988,None,1,163.348140099999,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
X,N,None,,0,58,58,58,,,,,,,,,,,,158.96924138069153,164.85390910000024,164.9342340000003,165.161942499999,None,1,166.04212820000066,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
C,N,None,,0,59,59,59,,,,,,,,,,,,161.67431712150574,167.54919399999926,167.62944199999947,167.85625079999954,None,1,168.7358480999992,168.7358480999992,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
X,N,None,,0,60,60,60,,,,,,,,,,,,164.37123155593872,170.24344419999943,170.3372999000003,170.55057230000057,None,1,171.44416979999914,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
V,N,None,,0,61,61,61,,,,,,,,,,,,167.07690906524658,172.95025969999915,173.03049959999953,173.25779779999903,None,1,174.13835950000066,174.13835950000066,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
V,Y,z,,0,62,62,62,,,,,,,,,,,,169.1869204044342,175.64560170000004,175.73910719999913,175.95261819999905,z,1,176.25811090000025,,0.49436659999992116,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
A,N,None,,0,63,63,63,,,,,,,,,,,,171.8882179260254,177.76622839999982,177.84656990000076,178.07329539999955,None,1,178.95358449999912,178.95358449999912,,180.46005100000002,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
Y,N,None,,0,64,64,64,,,,,,,,,,,,174.58831310272217,180.46005100000002,180.55319830000008,180.7668197999992,None,1,181.66132610000022,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
Y,Y,z,,0,65,65,65,,,,,,,,,,,,177.2946162223816,183.1683720000001,183.24852049999936,183.47537069999998,None,0,184.35449859999972,184.35449859999972,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
B,N,None,,0,66,66,66,,,,,,,,,,,,179.9896731376648,185.86252830000012,185.95635690000017,186.16969439999957,None,1,187.06323730000076,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
V,N,None,,0,67,67,67,,,,,,,,,,,,182.69719791412354,188.569168,188.64970940000057,188.87630519999948,None,1,189.75749759999962,189.75749759999962,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
V,Y,z,,0,68,68,68,,,,,,,,,,,,184.73594665527344,191.26471990000027,191.35820980000062,191.57167630000004,z,1,191.7981476999994,,0.4185753999990993,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
A,N,None,,0,69,69,69,,,,,,,,,,,,187.42355751991272,193.30455359999905,193.39894619999905,193.61241549999977,None,1,194.50591600000007,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
W,N,None,,0,70,70,70,,,,,,,,,,,,190.13730192184448,196.01300450000053,196.0931500000006,196.31921209999928,None,1,197.19977970000036,197.19977970000036,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
W,Y,z,,0,71,71,71,,,,,,,,,,,,192.0849220752716,198.70753309999964,198.78756199999953,199.01428769999984,z,1,199.14752319999934,,0.34560550000060175,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
Y,N,None,,0,72,72,72,,,,,,,,,,,,194.77617073059082,200.6535946999993,200.74728049999976,200.96074009999938,None,1,201.8552854999998,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
B,N,None,,0,73,73,73,,,,,,,,,,,,197.4843873977661,203.362264899999,203.4426454000004,203.66938429999936,None,1,204.54870839999967,204.54870839999967,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
C,N,None,,0,74,74,74,,,,,,,,,,,,200.18505668640137,206.0555435999995,206.13585559999956,206.3637075000006,None,1,207.24390119999953,207.24390119999953,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
C,Y,z,,0,75,75,75,,,,,,,,,,,,202.1650447845459,208.75008549999984,208.84379799999988,209.0570418999996,z,1,209.23018170000068,,0.36471419999907084,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
Y,N,None,,0,76,76,76,,,,,,,,,,,,204.865131855011,210.73837339999955,210.81853620000038,211.04537320000054,None,1,211.92587420000018,211.92587420000018,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
X,N,None,,0,77,77,77,,,,,,,,,,,,207.56015396118164,213.43273959999897,213.52632020000055,213.73968690000038,None,1,214.63329879999947,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
X,Y,z,,0,78,78,78,,,,,,,,,,,,209.6414406299591,216.14063669999996,216.22057320000022,216.4466278,z,1,216.71292929999981,,0.46800859999893873,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
C,N,None,,0,79,79,79,,,,,,,,,,,,212.34838032722473,218.22114689999944,218.30133269999897,218.52818900000057,None,1,219.40836710000076,219.40836710000076,,220.9144455000005,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
W,N,None,,0,80,80,80,,,,,,,,,,,,215.04283332824707,220.9144455000005,221.00814919999902,221.22148279999965,None,1,222.11606810000012,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
W,Y,z,,0,81,81,81,,,,,,,,,,,,217.01533699035645,223.62322809999932,223.70328960000006,223.9301789000001,z,1,224.07660939999914,,0.35429370000019844,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
W,Y,z,,0,82,82,82,,,,,,,,,,,,219.7078619003296,225.58402410000053,225.67740889999914,225.89088260000062,None,0,226.7845569000001,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
C,N,None,,0,83,83,83,,,,,,,,,,,,222.41797184944153,228.29144749999978,228.3717233999996,228.59750879999956,None,1,229.4778241999993,229.4778241999993,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
Y,N,None,,0,84,84,84,,,,,,,,,,,,225.10798716545105,230.98578389999966,231.06620509999993,231.2928355999993,None,1,232.17302390000077,232.17302390000077,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
C,N,None,,0,85,85,85,,,,,,,,,,,,227.02304577827454,233.68010270000013,233.7737051999993,233.98711469999944,z,0,234.0935673999993,,0.3039718999989418,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
X,N,None,,0,86,86,86,,,,,,,,,,,,229.72811794281006,235.60082370000055,235.6943463000007,235.90799940000034,None,1,236.8005331000004,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
B,N,None,,0,87,87,87,,,,,,,,,,,,232.42065501213074,238.30853279999974,238.3887047999997,238.6155818999996,None,1,239.49576370000068,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
B,Y,z,,0,88,88,88,,,,,,,,,,,,234.44317436218262,241.00198509999973,241.08188700000028,241.30886269999974,z,1,241.50918490000004,,0.4139839999988908,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
A,N,None,,0,89,89,89,,,,,,,,,,,,237.1439290046692,243.01692340000045,243.0969301999994,243.32393050000064,None,1,244.2041420000005,244.2041420000005,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
B,N,None,,0,90,90,90,,,,,,,,,,,,239.83329582214355,245.71119559999897,245.80473109999912,246.0182074000004,None,1,246.9120968999996,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
V,N,None,,0,91,91,91,,,,,,,,,,,,242.5283043384552,248.42321959999936,248.51037279999946,248.72483619999912,None,1,249.6185086000005,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
V,Y,z,,0,92,92,92,,,,,,,,,,,,245.23397636413574,251.1132448999997,251.2067217999993,251.4203581999991,None,0,252.31380750000062,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
B,N,None,,0,93,93,93,,,,,,,,,,,,247.94590711593628,253.8211449999999,253.90111289999913,254.12790160000077,None,1,255.00817379999899,255.00817379999899,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
W,N,None,,0,94,94,94,,,,,,,,,,,,250.63598728179932,256.5136062999991,256.60781490000045,256.821218699999,None,1,257.7161756000005,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
B,N,None,,0,95,95,95,,,,,,,,,,,,253.3492603302002,259.2227791999994,259.30308030000015,259.5298669999993,None,1,260.41013120000025,260.41013120000025,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
B,Y,z,,0,96,96,96,,,,,,,,,,,,255.37856078147888,261.91729080000005,261.9973539999992,262.2242217999992,z,1,262.43740289999914,,0.4186539000002085,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
Y,N,None,,0,97,97,97,,,,,,,,,,,,258.06859946250916,263.94454269999915,264.03811959999985,264.25161429999935,None,1,265.14427219999925,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
B,N,None,,0,98,98,98,,,,,,,,,,,,260.7630352973938,266.65219269999943,266.7325325999991,266.9592460999993,None,1,267.839577499999,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
B,Y,z,,0,99,99,99,,,,,,,,,,,,262.7923755645752,269.34569960000044,269.4258224999994,269.6528994,z,1,269.8535283000001,,0.41098979999878793,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
